num	summary_zh	summary_takeaways	summary_meta	summary_status
15	募到再多錢，為什麼有人捐得不甘願？貝殼放大創辦人林大涵，從台灣群眾募資元年一路走來，累積超過 50 億集資、幫助 800 組提案者圓夢。他拆解一個關鍵洞察：與其幫團隊挑一桶水，不如替他們挖一口井，讓有資源的大贊助者也一起把錢放大，重新定義募資顧問的價值。	與其挑一桶水，不如幫他挖一口井｜過去貝殼放大像挑夫，幫提案者找到那桶「錢」的水；但林大涵發現真正的機會，是媒合政府補助、企業基金會等超級大贊助者，用同一筆資源幫團隊做長期群眾募資。原本給 100 萬，透過募資可能放大成 300 萬、500 萬，讓資源方看到的不只是社會回報，而是實實在在的 ROI。 ‖ 募越多、收越高的「對讀式合約」｜創業初期貝殼放大不先收費，改以成效分潤，並採用募越多、分成比例越高的階梯式合約。這刻意讓顧問和提案者站上同一陣線：你募得越多，我的收益越明顯上升，因此我有動力和你一起把案子做到更大，而不是各自算計。 ‖ 成功創辦人的共通特質是「容錯率」｜林大涵認為越成功的創業者，容錯率越高。這份容錯率可能來自雄厚財力、強大的精神力，或深厚的人脈，即使這次失敗，大家仍願意繼續相信你。有了容錯的餘裕，才有本錢做題目、邀集戰力、發展更好的合作關係。	貝殼放大創辦人林大涵談群眾募資十年：50 億集資背後的洞察，從幫團隊挑水到挖井，讓資源方一起把錢放大。	ready-for-review
16	訪問貝殼放大創辦人林大涵之後，三位主持人 Jonathan、Tim、Johnson 回到麥克風前，聊聊各自的收穫：貝殼放大如何從單純的群眾募資顧問，衍生出天使放大、貝殼集氣等服務，建立起延續客戶終生價值（LTV）的生態系；也聊到美國抽獎募款平台 Omaze 的類比案例，以及新創從 bootstrap 到各輪募資的資金光譜。	募資平台不是丟上去就有人買單｜Tim 分享自己曾想做收藏車募資平台，卻卡在沒有公信力、沒人推銷；貝殼放大靠多個成功案例才累積出讓人願意投錢的信任。 ‖ 生態系留住客戶終生價值｜品牌靠群眾募資獲得第一批客人後，貝殼放大透過天使放大、貝殼集氣等服務延續關係，不讓客戶募完資就離開，拉長 LTV。 ‖ 早期卡位，跟著平台一起長大｜Jonathan 提到貝殼放大 2012、2013 年臉書社團起步時用戶少、長粉容易，如同早期進場的抖音或 Threads 用戶，能隨平台成長而放大聲量。	貝殼放大創辦人林大涵專訪後，主持人回顧募資顧問到天使放大、貝殼集氣的生態系佈局，聊 LTV、Omaze 抽獎模式與新創募資階段。	ready-for-review
17	一個因為手機容量不夠、想把美食照片清一清而開的帳號，四個同校好友花五秒定名、直接在手機上畫出 Logo，十年後長成破百萬粉絲的新媒體公司。4foodie 創辦人徐詩晴（Ava）談她如何靠手繪字與月亮 emoji 評分做差異化，如何被檢舉逃漏稅反被推去正式立案，以及從華山市集到紅葉蛋糕、星宇航空聯名的變現路。	拍不贏就比差異化｜Ava 直言自己拍照修圖贏不了專業攝影師，於是在照片上加手繪字、用月亮 emoji 取代分數評分，讓內容一眼就能被記住。 ‖ 不合品牌調性，寧願退費｜4foodie 合作前一定先講清楚規則，若餐廳真的不適合，Ava 會直接退費、不勉強編輯昧著良心寫好評，才撐出十年信任。 ‖ 被檢舉逃漏稅，推她正式立案｜一間甜點店店主因評論不佳瘋狂檢舉國稅局，才讓當時二十出頭的 Ava 被迫成立工作室、開發票，從此才真正走向公司化。	4foodie 創辦人徐詩晴（Ava）專訪：從清手機容量的美食帳號，到手繪字評分做差異化、被檢舉逃漏稅意外立案，十年打造破百萬粉絲新媒體公司。	ready-for-review
18	訪問 4foodie 創辦人 Ava 之後，三位主持人 Jonathan、Tim、Johnson 回到麥克風前，聊聊各自的收穫：一個原本只是為了清手機容量的美食帳號，如何靠手繪字與 emoji 評分做出差異化，一年衝上 10 萬粉絲，卻花了將近三年才等到第一筆業配收入。最後一段觀眾提問，三人也辯論內容創作者該怎麼挑選合作品牌。	清手機容量意外養出品牌｜Ava 一開始只是想把吃過的照片存到帳號裡騰出手機空間，Logo 花不到半小時畫完，卻在一年內衝到 10 萬粉絲。 ‖ 專心做一件事，做滿三年再變｜4foodie 從 2015 年 9 月每天發兩篇圖文，直到 2017 年才有第一筆業配收入，撐過近三年零營收才等到品牌信任。 ‖ 破圈也是一種轉型機會｜面對觀眾提問，Tim 認為受眾不合的品牌合作反而能幫創作者破圈；Johnson 則提醒仍要顧及品牌調性與受眾重疊，才是理想的長期合作。	4foodie 創辦人 Ava 專訪後，主持人回顧手繪字差異化、三年零收入到首筆業配的歷程，並回答聽眾提問：創作者該如何挑選合作品牌。	ready-for-review
19	台大機械系出身、當過家教的林暐淳（Johnson），大三發現學生的差距不是聰不聰明，而是學習動機與技巧，於是創辦 Pivot Study，把「逆轉學習」方法課賣進補習班。他用一次段考進步 50 到 100 名的數據談下近十家合作，卻在資本僅 10 萬台幣下，卡進賺不到錢的死穴。Cofit Part 1，聊大學生時期的第一次創業。	資料留白，逼學生自己建構知識｜Pivot Study 的講義大量留白，引用麥肯錫金字塔原理，若學生學完無法自己填出知識架構，就代表沒真的學會。 ‖ 用實測數據，換補習班信任｜團隊先免費把課程教給補習班學生，測出一次段考進步 50 到 100 名的成果，才拿著這組數據去談下一家合作。 ‖ 服務既有客戶，賺不到擴張的錢｜補習班本身招生能力有限，Pivot Study 只能抽既有學生的講師費，沒有能力帶來新學生，導致抽成極低、規模始終做不大。	Cofit 創辦人林暐淳（Johnson）專訪 Part 1：台大機械系背景的大學生創業，靠實測數據把逆轉學習法賣進近十家補習班，卻卡在既有客戶抽成太低的商業模式難題。	ready-for-review
20	看見美國 Retrofit、Weight Watchers 從實體工作坊轉型手機服務，林暐淳（Johnson）與營養師好友千穎把飲食紀錄與指導線上化，創辦 Cofit。300 萬資金、預估撐一年，App 推出卻發現營養師沒預算訂閱工具，只能轉往企業授權、幫大陸健身平台代工開發才打平。Cofit Part 2，聊差點撐不下去的第一年。	此路不通，訂閱就換道｜Cofit 原想把營養師工具賣給醫院與營養師收訂閱費，卻發現營養師收入多來自健保、沒有額外預算升級工具，這條路完全失敗。 ‖ 代工開發換來一年的損益兩平｜轉向幫大陸健身平台白牌開發 App，對方按月支付開發費，讓 Cofit 撐過最艱難的第一年，還順勢養大了工程與系統能力。 ‖ 產品定義權換不掉創業的初衷｜即使接了雀巢、台北市政府等代工案維持現金流，Johnson 堅持保留產品設計主導權，開發的功能仍是自己想要的方向，沒有偏離飲食教育的本業。	Cofit 創辦人林暐淳（Johnson）專訪 Part 2：300 萬資金起家，B2B 訂閱模式失敗後轉向企業代工開發，如何撐過差點做不下去的第一年。	ready-for-review
21	臉書還有流量紅利的年代，Cofit 靠官網限時促銷加廣告就能一路賣課。但紅利一過、流量被瓜分，CPA 開始暴增，光靠曝光廣告的受眾也放大不了。創辦人林暐淳沒有停在原地，疊出第二個引擎：用曝光廣告把人導進 Messenger，機器人先幫你算基礎代謝率，健康顧問再私訊成交。這是 Cofit 行銷從砸廣告走到陪伴用戶的進化之路。	廣告紅利退了，就疊下一個引擎｜臉書流量被瓜分、CPA 一路暴增後，Cofit 疊出第二個引擎：用曝光廣告把人導進私訊，機器人先算好熱量缺口，再讓健康顧問接手成交。 ‖ 衛教內容要當文案寫｜Cofit 把生硬難懂的營養知識，全部當作 Marketing 文案在雕琢，因為他們認為消費者讀不下去，是公司的責任，不是消費者的問題。 ‖ 拍越多張，瘦越多｜登上 Nutrients 期刊的一萬人統計發現，減重效果和一個指標強烈正相關——拍照上傳的張數；拍得越勤，成效越好。	Cofit 創辦人林暐淳（Johnson）專訪：從臉書廣告紅利消退、CPA 暴增談起，如何疊出「曝光廣告＋健康顧問私訊成交」的第二個成長引擎，並把生硬的衛教內容當行銷文案來寫，一步步做出減重品牌的行銷進化。	ready-for-review
22	一張照片，本來要等營養師分析；現在AI幾秒就給結果。Cofit累積十年、一千萬張照片的資料庫，讓AI拍照分析成了他們自認全世界最準的功能。但林暐淳沒有讓AI取代營養師，而是讓他們從算熱量的工作解放，去做更有價值的飲食策略指導。從線下營養師駐點到跟宋彥仁醫師聯名開診所，這是Cofit把AI與人加在一起、而不是互相取代的故事。	資料是十年攢出來的護城河｜Cofit累積一千萬張用戶照片，用十年經驗開發輔助程式與Prompt，做出自認全世界最準的AI飲食辨識功能。 ‖ AI搶走無聊的工作｜拍照算熱量本來就不是營養師想做的事，AI接手後，營養師才能真正去幫用戶訂更細緻的飲食策略，做更有價值的事。 ‖ 診所補上線上做不到的一塊｜宋彥仁醫師發現自己看診時沒有現場營養師、也無法直接開線上課，Cofit才決定自己做聯名診所把兩者整合起來。	Cofit 創辦人林暐淳（Johnson）專訪：靠十年累積下來的一千萬張用戶照片，打造出自認全世界最準的AI飲食辨識功能，再與宋彥仁醫師聯名開設減重診所，讓AI接手算熱量，營養師專心做飲食策略指導，分工互補而不是互相取代。	ready-for-review
23	三位主持人回到麥克風前，聊起Cofit創辦人林暐淳這幾集訪談留下的後勁。主持人Johnson分享自己用飲食紀錄APP後、慢慢抓到食物份量手感的經驗，Jonathan則點出Cofit把無聊的衛教知識講得淺白有趣、又靠網紅口碑建立信任的行銷邏輯。三人也聊到「客戶沒效果是公司的責任」這句話，覺得是少見、值得尊敬的創業態度。	紀錄本身就是學習｜主持人Johnson分享自己用飲食紀錄APP後，慢慢抓到雞胸肉、雞蛋大概幾克的手感，久了就把量化飲食內化成習慣，不用再一直依賴工具。 ‖ 衛教話術要像行銷文案｜Jonathan指出Cofit把生硬的營養知識，轉成淺顯有趣、國小四年級也能懂的內容，是能建立消費者信任的關鍵功夫。 ‖ 沒效果算公司錯｜三人一致認為林暐淳把客戶沒達到目標的責任攬在自己身上，而不是怪消費者不夠自律，是值得尊敬的企業文化。	Storys 創業之聲主持人訪後收穫：Jonathan、Tim、Johnson三位主持人回到麥克風前，回顧與Cofit創辦人林暐淳的訪談，聊飲食紀錄的學習價值、把衛教內容當行銷文案來寫的功夫，以及「沒效果算公司責任」這句話背後的創業態度。	ready-for-review
24	苗栗農村長大的孩子，下課不是學鋼琴，是去田裡幹活、上山砍柴。CYBERBIZ創辦人蘇基明（Jimmy）從這樣的背景念到成大，進明基做LCD Monitor研發，又在半導體業一待十年，見證晨星從零做到全球第十大IC設計公司、營收近400億。這段十年磨練，成了他後來創業的底氣，這是CYBERBIZ創辦人技術養成的起點篇。	刻苦環境是隱形訓練｜蘇基明從小要下田、上山砍柴、掃地才能去上學，假日還要趕集賣菜，他認為這樣的成長經歷反而練出面對困難時的刻苦能力。 ‖ 痛苦久了變正向循環｜半導體十年他形容99%時間都在受苦、只有達成目標那一刻興奮，但一直被逼著解決新問題，久了能力就越練越強。 ‖ 沒有做不到，只有怎麼做｜晨星創辦人從2001年創業到2010年上市，營收做到近400億、全球第十大IC設計公司，讓他徹底體悟到這句話。	CYBERBIZ 順立智慧創辦人蘇基明（Jimmy）專訪：從苗栗農村下田砍柴、假日趕集賣菜的童年，到明基做LCD Monitor研發，再到半導體業一路磨練整整十年，見證晨星從零做到全球第十大IC設計公司、營收近400億，一路練出創業前的技術與管理底氣。	ready-for-review
25	一趟跟老闆吵架後的三個月「遊學」，卻讓蘇基明（Jimmy）在2011年的矽谷看見軟體大爆發前兆。回台後，他先跟前同事賣茶葉練手感，發現自己更懂技術而非品牌，隔年投入電商平台，2014年成立公司，2015年合併Cyberbiz團隊、拿下第一個客人海鮮小當家，資本額從300萬燒到2600萬。這是CYBERBIZ從矽谷靈感走到燒錢求生的起步篇。	看對趨勢不等於看懂市場｜蘇基明從矽谷帶回「軟體是未來」的信念，卻沒想到台灣軟體的home market太小，還好誤打誤撞選對了電商這一題。 ‖ 先求有，再求平台｜他先接一個客製化APP案子練手賺錢，做完才慢慢想通要做能服務多個客人的平台，而不是一開始就想著做大。 ‖ 軟體創業輕，燒錢才能長大｜三人就能起家的軟體公司，合併後資本額從300萬燒到1600萬再到2600萬，一個月要燒掉上百萬找人、擴倉庫。	CYBERBIZ 順立智慧創辦人蘇基明（Jimmy）專訪：一趟跟老闆吵架後意外促成的矽谷三個月遊學，讓他看見軟體浪潮，回台先賣茶葉練手感，再轉戰電商平台，2015年合併Cyberbiz品牌，資本額從300萬一路燒到2600萬，走過創業起步求生的最初階段。	ready-for-review
26	現金流見底、團隊開始離職，蘇基明（Jimmy）卻同時攤開三條產品線：電商系統、倉儲、廣告機。Part 3，CYBERBIZ 走到最現實的關卡——月營收不到十萬塊，499 元的訂閱費被客人打電話罵「這麼爛」。Jimmy 只能自己捲袖子去賣，直到接下一個科專標案，公司才在 2016 年首度打平。	硬體整合思維救了軟體公司｜Jimmy 觀察半導體業「做 IP 的人最後都被 SOC 整合掉」，因此堅持一開始就把 App、Mobile Web、PC Web 全包，做一站式平台。 ‖ 現金流見底才是真開始｜團隊出走、公司只靠現金流硬撐，Jimmy 才在 2016 年親自下場當業務，打電話、做簡報找客戶，把 499 元訂閱制賣出去。 ‖ 一筆標案撐起轉正現金流｜2016 年接下電信業者委外的科專標案，分到 200 多萬，加上業務團隊到位，CYBERBIZ 那一年首度損益兩平。	CYBERBIZ 順立智慧創辦人蘇基明（Jimmy）專訪：現金流見底、月營收不到十萬、499 元訂閱被客人打電話罵爛，他親自下場當業務去賣、接下電信科專標案，撐過創業最現實的一關，2016 年首度損益兩平。	ready-for-review
27	「賺多少錢，養多少人」——這句話，蘇基明（Jimmy）從 2016 年蹲馬步蹲到 2020 年，才等到疫情這陣東風把 CYBERBIZ 送上快速成長飛輪。Part 4，他談如何在 2018 年就喊出「我們是一家 big data company」，用資料驅動幫商家降低成本、提高營收，也談團隊隨營收滾大後，管理問題怎麼跟著長大。	賺多少錢，才養多少人｜Jimmy 拒絕燒錢擴張，堅持營收成長才增加人力；收入變多就多養人，團隊一路滾大，卻沒斷過現金流，只是管理問題也跟著變複雜。 ‖ 資料才是產品的本體｜Jimmy 認為「AI 等於 data 乘上 model」，EC、POS、WMS 都是 data container，2018 年就定位公司是 big data company。 ‖ 降成本、增營收，飛輪才轉｜精準 retargeting 降低行銷成本、量大攤提物流成本，再靠資料做行銷提高客單價，兩端一起轉，飛輪才會動起來。	CYBERBIZ 順立智慧創辦人蘇基明（Jimmy）專訪：靠「賺多少錢養多少人」蹲馬步四年、疫情起飛，2018 年就自稱 big data company，用資料驅動降成本、增營收，啟動快速成長飛輪。	ready-for-review
